Casamayor de La Coma, María Andresa. Casandro Mamés de La Marca y Araioa
Balzátegui , Manuel
Uriarte , Lorenzo de
Mac-Evan , Juan Bautista
Maffey , Felipe León
Martel , Claudio
Massanés y Mestres, José
Medrano y Treviño, Lorenzo
Mendoza y Sandoval, José de
Mérich y Bedós, Juan Bautista
Miyares y Mancebo, Fernando
Montaigut de la Perille, Francisco
Montenegro , Antonio María de
Montes y Flores, José
Moreno , Miguel
Muñoz y Fernández Vázquez, Luis
Muñoz , Manuel
Navacerrada y Vergés Ruiz Mercader, Manuel
Norzagaray y Casado, Fernando
Ochoa de Leguizamo, Pedro
Ordovás y Sastre, Pablo
Otermín , Manuel
Morales García, Pedro
Fernández Verano, Francisco
Fitor Álvarez, Joaquín
Gámez Bueno, Pedro José
Garrigó y García de la Calle, Antonio María
Malats Domenech, Juan
Mancebo Troconis, Juan Esteban
Manso Español, Simón
March y O’Doyle, Fermín de
Marcilla Ezquerro, Dionisio
Quirós Sabatier, Leandro
Rich y Rich, José
Rodríguez de la Fuente, José María
Rodríguez González, Gaspar Antonio
Zavala y Bravo del Ribero, Pedro José de
García Panes Abellán, Diego
Pagazaurtundúa , Juan José
Panón , Ramón
Paredes , Francisco
Paveto , Cayetano
Peison Duparquet, Carlos
Perchet , Juan María
Petit de la Croix, José
Petrarca , Domingo
Pineda , Fernando Jerónimo de
Morate Herrera, Diego
Pírez y Correa, Juan
Plana y Mauzán, Ramón Ignacio
Possi , Lorenzo
Poulet de Montsoison, Simón
Pozo Marqui, José Antonio del
Pozuelo y Espinoza, Francisco
Abad , Alonso
Abad , Antonio
Abad y Altamir, Agustín
Abad García, Diego José. Labbe Selenopolitano
Abad Illana, Manuel
Abad y Lasierra, Agustín Íñigo
Abad y Lasierra, Manuel
Abad Moreno, Francisco. Chaleco
Abad y Queipo, Manuel
Abadal Fontcuberta, Josep
Abadal Fontcuberta, Pau
Abadal Girifau, Ignasi
Abadal Morató, Pere
Abadal Serra, Andreu
Abadía , Domingo
Abadía , Matías
Abadía y Aragorri, Francisco Javier
Abadía Tamarit, Antonio
Abadiano y Jassó, José Blas Antonio
Abadín y Guerra, Antonio
Abarca , Beatriz
Abarca , Pedro de
Abarca y Aznar, Silvestre
Abarca de Bolea , Luis
Abarca de Bolea y Almazán, Luis. Marqués de Torres (II)
Abarca de Bolea y Fernández de Heredia, Martín. Marqués de Torres (I)
Abarca de Bolea y Hornes, Bernardo. Duque de Almazán (I), Marqués de Torres (III)
Abarca de Bolea Mur y Castro, Ana Francisca
Abarca de Bolea y Ximénez de Urrea, Pedro Pablo. Conde de Aranda (X)
Abarca de Bolea Ximénez de Urrea y Bermúdez de Castro, Buenaventura Pedro. Conde de Aranda (IX), marqués de Torres, señor de la Tenencia de Alcalatén
Abarca y Velazco, Baltasar de
Abarca Villalón, Juan. Conde de Larosa (II)
Abaria e Imaz, Esteban José de
Abarrategui y Figueroa, Jerónimo
Abascal y Sousa, José Fernando de. Marqués de la Concordia (I)
Abasolo , Mariano
Abat i Mestre, Pere
Abbeville , Claude d'
Abduladín , Alí
Abella Peligero, Manuel de
Abelló de Valdés, Juan Antonio
Aben Mequenum
Abenaxara , Alí
Abianelo , Baltasar. Paduano
Aboab , Isaac. El último gaón de Castilla
Abranches , Antonia
Abravanel , Isaac ben Yehudá
Abravanel , Yehudá. León hebreo
Abreu , Diego de
Abreu y Bertodano, Félix José
Abreu y Bertodano, José Antonio de. Marqués de la Regalía (II)
Abreu de Figueroa, Gonzalo
Abreu y Orta, Agustín
Abreu y Orta, Joaquín de
Abreu Orta, Manuel
Abrich , Jerónimo
Abril , Pascual
Abu l-Hasan 'Ali . Muley Hacén
Abu l-Hasan 'Ali al-Manzari al-Garnati al-Titwaní
Abu Zayyan b. 'Abd al-Haqq, Ibn Abi Sa'id
Abuín , Saturnino. El Manco
Acacio Bernal, Juan
Acassuso , Domingo de
Accursio , Mariangelo
Acebal Arratia, Francisco
Acebedo Muñoz, Fernando de
Acebedo Muñoz, Juan Bautista de
Acebo , Manuel
Acebo Sotelo, Pedro
Acedo , Diego de. El Primo
Acedo y Sarria, María del Pilar de. Condesa del Vado (IV), Condesa de Echauz (III), Marquesa de Montehermoso (VI)
Acedo y Torres, Francisco de
Acedo y Ximénez, Miguel Calixto de
Acero , Lino José de
Acero y Arevo, Vicente
Acero de la Cruz, Antonio
Acevedo , Alonso de
Acevedo , Alonso María de
Acevedo , Antonio de
Acevedo , Diego de
Acevedo , Juan
Acevedo , Luis
Acevedo , Manuel Antonio de
Acevedo , Pedro Pablo de
Acevedo Gómez, José. El Tribuno del Pueblo
Acevedo Ibáñez, Manuel Antonio. Conde de Torrehermosa (II)
Acevedo y Navia, Manuel Jacinto
Acevedo y Pola, José María Francisco de Borja
Acevedo y Pola, Manuel María
Acevedo y Pola, Vicente María
Acevedo y Zúñiga, Alonso de. Conde de Monterrey (III)
Acevedo y Zúñiga, Jerónimo de. Conde de Monterrey (IV)
Acevedo y Zúñiga, Manuel de. Conde de Monterrey (VI), Conde de Fuentes de Valdepero
Acha , Juan de
Acha , Martín de
Acha y Descartín, Faustino de
Acha y Urruchi Larreun y Echauren, Tomás Domingo de
Achútegui Manrique, Gabriel de
Acitores , Andrés de
Acorbe , Juan de
Acosta , Agustín de
Acosta , Cristóbal
Acosta , Francisco de
Acosta , Francisco de
Acosta , José de
Acosta , José Manuel de
Acosta , José
Acosta , Juan de
Acosta , Juan de
Acosta , Pedro
Acosta , Pedro de
Acosta , Tomás de
Acosta Arévalo, Antonio de
Acosta y Cabrera, Diego de
Acosta Romero, Juan Facundo de
Acosta Soto de Madariaga, María de los Ángeles
Acquaviva d'Aragona , Domingo. Duque de Atri (XVII), en el Reino de Nápoles
