,0
0,--nino guevara
1,-geronimo hernandez
2,-luisa ordoñes
3,-basco perea
4,-gaspar aguila
5,-vasco pereyra
6,alfonso martineznos
7,abraham pedro
8,acensio maeda
9,acisclos burgueño
10,adriaen jacome
11,adrian escaraban
12,adrian ossu
13,adrian jacome
14,adrian lopez
15,adrian clossa
16,adrian villens
17,agustina ignacia zavala
18,agustina maria josepha
19,agustina maria schutt
20,agustin berdugo
21,agustin francisco armejo
22,agustin garcia
23,agustin gonzalo
24,agustin marias
25,agustin rodriguez
26,agustin armido
27,agustin borja
28,agustin libera
29,alarcon escribano
30,alarcon escribano publico
31,alberta ambar
32,alberto ferino
33,alberto gomez
34,alejandro mateo
35,alejo lopez
36,alejos fernandez
37,alexo fernandesgarcia leon
38,alfonsa gutierrez maso
39,alfonsa gutierrez mazo
40,alfonsa maria noregon
41,alfonso francisco
42,alfonso francisco paula
43,alfonso rodriguez
44,alo gordillo
45,alo fanchez gordillo
46,alo martin
47,alonfo rivero
48,alonfo mena
49,alonfo ximenez
50,alonsa castillo
51,alonso agustin vanegas
52,alonso albarez
53,alonso antonio oros
54,alonso balladare
55,alonso garcia
56,alonso garcia medida
57,alonso garcia velladares
58,alonso garido
59,alonso gomez carvayo
60,alonso gomez
61,alonso martin
62,alonso martin guillena
63,alonso nuñez
64,alonso osario
65,alonso perez bolsa
66,alonso perez marchan
67,alonso perez merchan
68,alonso resio
69,alonso rodriguez
70,alonso rolleto
71,alonso romanen
72,alonso roxo
73,alonso ruiz
74,alonso salvador
75,alonso veranga
76,alonso albares
77,alonso alcala
78,alonso arguela
79,alonso caravajal
80,alonso castilla
81,alonso guadalupe
82,alonso leon
83,alonso llera
84,alonso mendosa
85,alonso ortega
86,alonso parales
87,alonso sugura
88,alonso valderama
89,alonso concepcion
90,alonso los reyes
91,alonso desquibel
92,alonsso coca
93,altar mayor
94,alvar rodriguez
95,alvarez quintero
96,alvaro garcia
97,alvaro alcocer
98,alvira amayo
99,amao vergara
100,amaro rodriguez
101,amaro vasquez
102,amaro vazquez
103,amaro bazquez
104,ambrosio lucente
105,ambrosio rodriguez
106,ana bernal
107,ana bernal francisco
108,ana francisca
109,ana francisca santiago
110,ana garcia
111,ana gomez
112,ana jeronima
113,ana josepha
114,ana lorenza
115,ana manuela
116,ana mara
117,ana maria
118,ana maria beydaçar
119,ana martin
120,ana maria urritia
121,ana maria vidal
122,ana maria veidacar
123,ana perez
124,ana rodriguez
125,ana rosa
126,ana tomasa ambar
127,ana vanegas
128,ana vidal
129,ana aro
130,ana bastos
131,ana castilla
132,ana galbes
133,ana guzman
134,ana leon
135,ana prados
136,ana rojas
137,ana santiago
138,ana seta
139,ana talvera
140,ana ubrien
141,ana ventura
142,ana cruz
143,ana los reyes
144,ana triarte
145,ana micaela
146,anales sevilla
147,anamaria javier
148,andrea cruzate
149,andrea martin
150,andrea martinez
151,andrea maria color
152,andrea ariola
153,andrea rosa
154,andrea santa trinidad
155,andrea santisima trinidad
156,andrea trinidad
157,andrea santisima
158,andres garzaran
159,andres gascola
160,andres lopez
161,andres marin
162,andres martin
163,andres morin
164,andres nuñez
165,andres nuñez çarzuela
166,andres obiedo
167,andres ortega
168,andres yglesias
169,andres alberto
170,andres caballo
171,andres dunquer
172,andres garcia belloso
173,andres hurtado
174,andres isola
175,andres laride
176,andres lopez usllanes
177,andres martinez
178,andres morano
179,andres perez deisas
180,andres perez dejar
181,andres rodriguez
182,andres ruiz alvarado
183,andres sanguino
184,andres alvarado
185,andres argunedo
186,andres ariola
187,andres leon
188,andres los reyes
189,andres lucena
190,andres ondero
191,andres peso
192,andres salbea
193,andres san martin
194,angela villens
195,anton garcia
196,anton gomez
197,anton martinez
198,anton pablos
199,anton perez
200,anton rodriguez
201,antonia alfonsa
202,antonia bernarda
203,antonia duarte
204,antonia guerido
205,antonia lucrecia
206,antonia martinez esquibel
207,antonia maria
208,antonia maria cordete
209,antonia maria villasa
210,antonia rodriguez
211,antonia vidal
212,antonia baldes
213,antonia guzman
214,antonia leon
215,antonia morilla
216,antonia oros
217,antonia zarate
218,antonio almedo
219,antonio alvan
220,antonio antunes
221,antonio balera
222,antonio barrao
223,antonio basilio
224,antonio carillo
225,antonio carreta
226,antonio garcia
227,antonio gomez
228,antonio gonzales
229,antonio guillen
230,antonio jorge
231,antonio joseph vares
232,antonio joseph banco
233,antonio juan iñigo
234,antonio lorenzo
235,antonio luis
236,antonio lusando
237,antonio martin
238,antonio martinez
239,antonio marin
240,antonio miguel
241,antonio navarez
242,antonio nicolas
243,antonio novela
244,antonio nuñez
245,antonio perez maestro
246,antonio rafael
247,antonio rochero
248,antonio rodriguez
249,antonio vevallos
250,antonio alfian
251,antonio anselmo
252,antonio barera
253,antonio campolargo
254,antonio carransa
255,antonio covarubias
256,antonio escaraza
257,antonio guerrera
258,antonio jesus
259,antonio leon
260,antonio libano
261,antonio navarette
262,antonio padua
263,antonio roja
264,antonio sameta
265,antonio tevra
266,antonio villapando
267,antonio zabola
268,antonio zarate
269,antonio conzepcion
270,antonio pena
271,antonio los reyes
272,antonio los angeles
273,antonio ssoria
274,antonio nauarro
275,anxela nuñez
276,apostol rosario
277,arcediano niebla
278,arcediano sevilla
279,artemio castro
280,augustina josepha maria
281,ayala sandoval
282,bartolome fftanco de leon
283,baltasar baron
284,baltasar garcia
285,baltasar rodriguez
286,baltasar xuares
287,baltasar rojas
288,baltasar los reyes
289,baltasar rribera
290,balthasar muñoz
291,balthasar barahona
292,balthasar baraona
293,balthazar gonzalez
294,baptista bazquez
295,barbara mañan
296,bartholome garsia santiago
297,bartholome garzia santiago
298,bartolome bernal
299,bartolome clemente rettuertta moracho
300,bartolome escotto
301,bartolome garcia
302,bartolome garsia santiago
303,bartolome garzia santiago
304,bartolome lopez
305,bartolome martin
306,bartolome perez
307,bartolome rodriguez
308,bartolome ruiz
309,bartolome serafin
310,bartolome areguas
311,bartolome cazeres
312,bartolome ortega
313,bartolome santiago
314,bartolome gomes
315,bartolome ferrara
316,bartolome francisco
317,bartolome luis hurtado
318,bartolome matheos
319,bartolome pulgarin
320,bartolome escobad
321,bartolome leon
322,bartolome puya
323,beatriz arguelo
324,beatriz dormaza
325,beatriz garcia
326,beatriz josepha fugoso
327,beatriz lopez
328,beatriz nuñez
329,beatriz perez
330,beatriz rodriguez
331,beatriz ruiz
332,beatriz cabera
333,beatriz carbera
334,beatriz leon
335,beatriz rojas
336,benita montedoza
337,benita montesdaca
338,benito cancelas
339,benito francisco baltasar
340,benito perez
341,benito rodriguez
342,benito peraya
343,benito san pedro
344,benito salto
345,bermondo resta--
