,0
0,
1,- rodriguez
2,-- manrique
3,-- ramirez
4,-- sarabia
5,-- velas
6,-- velasco
7,-- herrera ortiz
8,-- pinta y collantes
9,-- abrego
10,--de vega
11, las 
12, su 
13,a lopez
14,abraham
15,acenfio maeda
16,adan
17,ademas
18,adrian flamenco
19,agnus dei madera
20,agnus cera
21,agustin
22,ahasuerus
23,alarconsimon ruiz
24,albaro cazeres
25,albaro cespedes y vallejo
26,alexo fernandezrodrigo
27,alfian
28,alfonso
29,alfonso xii
30,alfonso xiii
31,ali
32,alo alarcon escriuo
33,alonso
34,alonso ecijano
35,alonso sarehir
36,alonso xaimez
37,alonso basques
38,alonso balder--
39,alonso fsquibel
40,alonso esijano
41,alonso rroxo
42,alphonsa maria nogren
43,alphonsa gusman
44,alº gordillo
45,alº fanchez gordillo
46,amaro basques
47,amaro basquez
48,amaro vafquez
49,ambrosio
50,ambrosio diazdel
51,ana
52,ana alcosser
53,ana luzon
54,ana mendriaga
55,anamaria
56,andrea
57,andrea sarebes uriano
58,andres
59,andres garrocho
60,andres buenrostro
61,andres ibarburu y galdona
62,andres obiedo maeftro
63,andres ceodas
64,andres rinquel
65,andres lazo
66,andres mendriaga
67,andres regajal
68,andres zaya
69,andres zuñiga
70,angel anunciandoles el nacimiento
71,angela
72,angeles
73,angeles ntra
74,angeles y famosos
75,angeles y pastores
76,angeles y serafines
77,angeles y virgenes
78,animas benditas
79,animas benditas purgatorio
80,animas benditos
81,animas purgatorio
82,animas purgatoria
83,anton guizola
84,antonia
85,antonia barragan
86,antonia elegui
87,antonia sedemonte
88,antonia lldefonsa
89,antonio
90,antonio caruallo presuitero
91,antonio coimbra
92,antonio embila
93,antonio miguel fax
94,antonio nobela
95,antonio padre
96,antonio serabe rete
97,antonio sohenone
98,antonio uberuoaga
99,antonio zanamiego
100,antonio -- vecinos
101,antonio candaraes
102,antonio landaver
103,antonio neberos
104,antonio santa cruz
105,antonio vueva
106,arfian
107,aroca
108,arquiteto
109,arzobispo mena
110,ase tallar
111,audalla morato
112,auto el sr teniente
113,autografo
114,autografo de
115,autografo pacheco
116,autografo juo ouiedo
117,avila
118,aviles
119,azcona arzovispo
120,b vazquez
121,balencian martingaspar peralta
122,balthazar corbartes
123,barrao
