,token,score,match
0,sucedido,80,saucedo
1,yeruas,77,payeras
2,enojosa,80,hinojosa
3,brazado,80,bazcardo
4,italianas,75,albiñana
5,afiansa,83,ainsa
6,enbarrado,75,ferrado
7,formados,71,oramas
8,mayor.2,83,mayor
9,zolar,80,solar
10,vbiere,77,riviere
11,belazques,82,blazquez
12,llamara,80,villamar
13,alferes,77,febres
14,borradoy,80,torrado
15,unido,80,nidos
16,pidiera,83,piñera
17,grabar,80,guarambar
18,nogal,83,nogales
19,terminos,80,oterino
20,follages,77,fages
21,exheder,73,eder
22,remitte,71,mitarte
23,cañavereria,84,claverria
24,baxa,75,baca
25,despejo,92,espejo
26,acabaremos,71,cabases
27,dixo,75,dios
28,judizial,67,uzal
29,vigas,91,viegas
30,linage,100,linage
31,insertas,71,cisternas
32,conio,83,conelio
33,Morales,100,morales
34,declarafen,78,decraene
35,dañar,75,amar
36,onrarme,67,torme
37,.o,67,oña
38,imajeneria,75,manera
39,yngeniero,75,veniero
40,coraçon,83,corona
41,transfiguracion,62,anunciacion
42,ducado,83,duardo
43,depósitos,71,descos
44,importancia,71,portaña
45,terzio,77,tenorio
46,bancasa,86,blancas
47,retablo-,77,rabelo
48,Gitanos,77,gaitan
49,aliçar,80,calar
50,carmesidos,71,casildo
51,petizion,77,tizon
52,entiendafe,75,tienda
53,Batista,100,batista
54,enbolado,77,bolaño
55,dragante,77,gante
56,comiesen,77,comes
57,nombraba,67,omaña
58,excultor,71,hector
59,rruyz,75,ruy
60,alcanzado,75,alcazar
61,contratación,76,constantin
62,calabaza,94,calabazas
63,adbertido,78,albertino
64,11500,0,dessi
65,III,75,ibiri
66,refeuir,71,retegui
67,oseano,83,secano
68,serviros,75,rovirosa
69,bracos,83,branco
70,alemanesco,82,alemans
71,trassa,80,rasa
72,enffanblaxe,56,bernabe
73,pasadas,93,passadas
74,obalados,75,obligado
75,aparexar,71,asprer
76,Justicio,88,justicia
77,examinarme,67,minjares
78,labrara,88,laboraria
79,procurado,75,parrado
80,alguien,71,algarin
81,patronos,86,patron
82,demuestras,75,mestra
83,Rmo,86,ramo
84,incorpore,67,corrohore
85,ffecka,67,flecha
86,ynponiendole,63,coniedo
87,altaneria,80,alteri
88,fortuito,82,fortunato
89,inabitables,67,albites
90,frontada,82,frontaura
91,corriese,80,correas
92,l,67,la
93,regidores,67,freire
94,querpos,83,quero
95,devoción,67,davin
96,dador,80,adsor
97,liquida,71,alquiza
98,rresiuiran,71,esquira
99,modere,77,modenes
100,calfas,83,caldas
101,escaueles,75,suelves
102,presbiterio,76,prestamero
103,hazelles,80,havelle
104,aventado,80,avendaño
105,cantaras,82,alcantara
106,crespadas,80,espada
107,tresillos,88,tesillo
108,acrehedor,75,acevedo
109,Trabajando,71,trojano
110,conbinientes,73,corrientes
111,ynpedimento,67,eximeno
112,nesefario,74,monesterio
113,esculpidos,74,escuderos
114,trafpasso,67,tasson
115,estanterol,71,estaper
116,troso,80,rosso
117,colados,86,collado
118,collación,74,consolacion
119,otve,75,jove
120,Obligo,86,obligado
121,Beneficiado,78,benicia
122,—,0,dessi
123,rescevi,75,crescenzi
124,testamento.para,72,prestamero
125,sepulcro,62,seuil
126,brasso,83,frasso
127,entiben,77,setien
128,ratificara,63,battifora
129,arçorbispado,71,rosado
130,maes¬tros,80,mestres
131,185,0,dessi
132,apregonadas,71,pradas
133,senblantes,75,nantes
134,rreclamacion,70,encarnacion
135,enliença,83,elena
136,lisuras,73,lira
137,paflones,77,panes
138,yra,75,yebra
139,talayera,88,talayero
140,colla,91,coalla
141,ygualado,75,gallardo
142,Traspaso,77,aspas
143,Rejas,80,rojas
144,15,0,dessi
145,registros,71,restrepo
146,tableruelo,75,teruel
147,balahustes,71,lastres
148,leydas,77,almeyda
149,ynstrumento,70,sarmiento
150,prematichas,71,matias
151,encarnaremos,70,encarnacion
