,docid,match,string,start,end
0,2,costa,costa,62,63
1,52,costa,costa,1030,1031
2,55,costa,costa,1004,1005
3,82,costa,costa,269,270
4,85,juan,juan,11,12
5,85,"juan
",juan,11,12
6,85,juan de,juan de,11,13
7,85,señor prouisor,señor prouisor,23,25
8,85,juan de la,juan de la,11,14
9,85,juan de la palma,juan de la palma,11,15
10,88,costa,costa,127,128
11,93,roque,roque,48,49
12,95,ana,ana,55,56
13,100,juan,juan,86,87
14,100,"juan
",juan,86,87
15,100,maria,maria,82,83
16,100,juan de,juan de,86,88
17,101,ortega,ortega,150,151
18,101,roque,roque,261,262
19,101,costa,costa,201,202
20,116,corral,corral,38,39
21,116,costa,costa,780,781
22,134,costa,costa,697,698
23,137,corral,corral,14,15
24,138,corral,corral,11,12
25,152,costa,costa,204,205
26,153,juan,juan,243,244
27,153,"juan
",juan,243,244
28,153,francisco,francisco,300,301
29,153,domingo,domingo,296,297
30,153,costa,costa,109,110
31,158,costa,costa,928,929
32,185,ana,ana,35,36
33,194,pablo,pablo,311,312
34,201,costa,costa,723,724
35,202,costa,costa,818,819
36,218,juan,juan,132,133
37,218,"juan
",juan,132,133
38,221,graviel,graviel,236,237
39,225,costa,costa,682,683
40,230,joseph,Joseph,216,217
41,230,costa,costa,237,238
42,231,bernardo,Bernardo,39,40
43,234,josepha,josepha,21,22
44,234,theresa,theresa,20,21
45,237,costa,costa,377,378
46,242,juan,Juan,193,194
47,242,"juan
",Juan,193,194
48,242,juan baptista,Juan Baptista,193,195
49,242,costa,costa,212,213
50,244,ana,ana,184,185
51,244,joseph,Joseph,207,208
52,247,costa,costa,75,76
53,250,antonio,antonio,43,44
54,251,costa,costa,265,266
55,254,pedro,pedro,88,89
56,260,costa,costa,132,133
57,266,theresa,theresa,126,127
58,266,joseph,Joseph,99,100
59,270,costa,costa,175,176
60,272,bernardino,Bernardino,422,423
61,272,costa,costa,197,198
62,274,costa,costa,208,209
63,276,costa,costa,140,141
64,278,phelipe,Phelipe,32,33
65,280,costa,costa,103,104
66,281,costa,costa,291,292
67,286,lorenzo,lorenzo,18,19
68,287,antonio,antonio,22,23
69,287,francisco,Francisco,97,98
70,287,lorenzo,lorenzo,15,16
71,287,joseph,Joseph,167,168
72,288,marco,marco,148,149
73,288,costa,costa,146,147
74,289,rufina,rufina,84,85
75,293,costa,costa,116,117
76,294,señor prouisor,señor prouisor,142,144
77,299,ana,ana,77,78
78,300,señor prouisor,señor prouisor,52,54
79,301,costa,costa,221,222
80,302,antonio,antonio,60,61
81,302,miguel,miguel,254,255
82,302,diego,Diego,261,262
83,302,costa,costa,136,137
84,303,antonio,antonio,41,42
85,303,francisco,Francisco,66,67
86,303,miguel,miguel,107,108
87,303,francisco de,Francisco de,66,68
88,304,juan,Juan,61,62
89,304,"juan
",Juan,61,62
90,304,juan de,Juan de,131,133
91,304,juan bautista,Juan Bautista,61,63
92,304,bautista,Bautista,62,63
93,305,xpoual,xpoual,109,110
94,310,antonio,antonio,96,97
95,310,teresa,teresa,98,99
96,310,andres,andres,79,80
97,310,marco,marco,108,109
98,310,joseph,joseph,77,78
99,310,costa,costa,189,190
100,313,diego de alcala,Diego de Alcala,116,119
101,313,antonio,antonio,138,139
102,313,vicente,vicente,147,148
103,313,ana,ana,189,190
104,313,diego,Diego,116,117
105,313,diego de,Diego de,116,118
106,313,joseph,Joseph,112,113
107,325,pablo,pablo,173,174
108,325,joseph,Joseph,170,171
109,326,bernardo,Bernardo,99,100
110,326,antonio,antonio,166,167
111,327,costa,costa,168,169
112,328,miguel,miguel,129,130
113,328,fernando,fernando,83,84
114,329,costa,costa,201,202
115,330,costa,costa,192,193
116,333,costa,costa,119,120
117,335,phelipe,phelipe,128,129
118,335,phelipe del castillo,phelipe del castillo,128,131
119,336,costa,costa,139,140
120,338,costa,costa,265,266
121,347,francisco,Francisco,31,32
122,348,francisco,francisco,32,33
123,359,juan,Juan,182,183
124,359,"juan
",Juan,182,183
125,359,juan de,Juan de,182,184
126,359,juan de la,Juan de la,182,185
127,359,juan de la palma,Juan de la Palma,182,186
128,359,bautista,Bautista,246,247
129,359,costa,costa,883,884
130,360,juan,Juan,14,15
131,360,"juan
",Juan,14,15
132,360,juan de,Juan de,14,16
133,360,juan de la,Juan de la,14,17
134,360,juan de la palma,Juan de la Palma,14,18
135,362,francisco,francisco,54,55
136,365,gabriel,Gabriel,137,138
137,365,francisco,Francisco,178,179
138,365,domingo,Domingo,180,181
139,365,miguel,Miguel,149,150
140,366,joseph,Joseph,284,285
141,373,lorenzo,Lorenzo,5,6
142,383,juan,Juan,664,665
143,383,"juan
",Juan,664,665
144,383,costa,costa,90,91
145,384,juan,Juan,353,354
146,384,"juan
",Juan,353,354
147,384,juan bautista,Juan Bautista,353,355
148,384,antonio,antonio,296,297
149,384,bautista,Bautista,354,355
150,419,cristobal,Cristobal,19,20
151,423,rodriguez,Rodriguez,7,8
152,523,costa,costa,1576,1577
153,552,costa,costa,66,67
154,590,juan,Juan,13,14
155,590,"juan
",Juan,13,14
156,592,domingo,domingo,46,47
157,592,costa,costa,485,486
158,659,costa,costa,344,345
159,660,juan,juan,52,53
160,660,"juan
",juan,52,53
161,660,juan baptista,juan baptista,52,54
162,673,pablo,pablo,995,996
163,673,costa,costa,705,706
164,678,isabel,isabel,433,434
165,678,pedro,Pedro,389,390
166,679,costa,costa,62,63
167,688,costa,costa,91,92
168,705,juan,Juan,112,113
169,705,"juan
",Juan,112,113
170,705,juan bautista,Juan bautista,112,114
171,705,bautista,bautista,113,114
172,714,juan,Juan,157,158
173,714,"juan
",Juan,157,158
174,714,juan baptista,Juan baptista,157,159
175,726,juan,Juan,86,87
176,726,"juan
",Juan,86,87
177,734,costa,costa,223,224
178,735,domingo,domingo,58,59
179,735,costa,costa,100,101
180,754,costa,costa,42,43
181,772,sebastian,Sebastian,1005,1006
182,772,pablo,pablo,881,882
183,772,pedro,pedro,875,876
184,772,antonio,antonio,1011,1012
185,772,costa,costa,1571,1572
186,773,catalina,catalina,206,207
187,783,domingo,domingo,99,100
188,783,costa,costa,109,110
189,786,costa,costa,75,76
190,796,costa,costa,160,161
191,797,costa,costa,116,117
192,798,favian de umanes,favian de umanes,25,28
193,870,juan,juan,311,312
194,870,"juan
",juan,311,312
195,870,marco caña,marco caña,78,80
196,870,marco,marco,78,79
197,870,costa,costa,705,706
198,892,marcos,marcos,720,721
199,893,marques de tarifa,marques de tarifa,26,29
200,896,pedro,pedro,66,67
201,897,costa,costa,107,108
202,898,pedro,pedro,188,189
203,900,alfian,Alfian,163,164
204,900,rodriguez,Rodriguez,166,167
205,900,costa,costa,112,113
206,903,señor prouisor,señor prouisor,133,135
207,903,costa,costa,121,122
208,906,juan,juan,699,700
209,906,"juan
",juan,699,700
210,906,juan de,juan de,699,701
211,916,marques de tarifa,marques de tarifa,2,5
212,918,francisco,francisco,345,346
213,918,costa,costa,1030,1031
214,920,sebastian,Sebastian,403,404
215,920,anton,anton,401,402
216,920,costa,costa,1091,1092
217,921,rufina,rufina,287,288
218,921,nufro,nufro,221,222
219,921,benito,benito,231,232
220,921,andres,andres,201,202
221,923,señor prouisor,señor prouisor,23,25
222,928,bartolome,bartolome,55,56
223,932,juan,juan,220,221
224,932,"juan
",juan,220,221
225,932,pedro,pedro,225,226
226,932,vasco perea,vasco perea,490,492
227,932,bartolome,bartolome,232,233
228,932, vasco perea, vasco perea,489,492
229,933,juan,juan,134,135
230,933,"juan
",juan,134,135
231,933,pedro,pedro,175,176
232,934,costa,costa,886,887
233,949,hernan ruyz,hernan ruyz,620,622
234,949,costa,costa,1177,1178
235,952,rodrigo,rodrigo,103,104
236,952,costa,costa,281,282
237,953,francisco,francisco,242,243
238,962,costa,costa,1570,1571
239,969,hernan ruys,hernan ruys,100,102
240,969,pedro,pedro,549,550
241,975,hernan ruyz,hernan ruyz,179,181
242,975,corral,corral,1074,1075
243,975,costa,costa,1146,1147
244,978,pablo,pablo,83,84
245,989,costa,costa,413,414
246,992,costa,costa,351,352
247,998,maria,maria,73,74
248,1006,bautista,bautista,188,189
249,1007,juan,juan,147,148
250,1007,"juan
",juan,147,148
251,1007,juan batista,juan batista,147,149
252,1009,juan,juan,85,86
253,1009,"juan
",juan,85,86
254,1009,juan bautista,juan bautista,85,87
255,1009,pedro,pedro,234,235
256,1009,francisco,francisco,112,113
257,1009,domingo,domingo,297,298
258,1009,bautista,bautista,86,87
259,1012,grauiel del valle,grauiel del valle,38,41
260,1014,martin robles,Martin Robles,3119,3121
261,1014,fernando martin,Fernando Martin,3118,3120
262,1014,fernando,Fernando,3118,3119
263,1014,martin,Martin,3119,3120
264,1014,grabiel del valle,grabiel del valle,3212,3215
265,1014,fernando martin robles,Fernando Martin Robles,3118,3121
266,1014,costa,costa,52,53
267,1015,costa,costa,121,122
268,1016,costa,costa,38,39
269,1022,grabiel del balle,grabiel del balle,383,386
270,1022,costa,costa,21,22
271,1023,costa,costa,22,23
272,1027,baltasar de riuera,baltasar de riuera,2,5
273,1027,costa,costa,126,127
274,1028,costa,costa,174,175
275,1029,costa,costa,187,188
276,1032,phelipe,phelipe,112,113
277,1032,anton,anton,337,338
278,1033,costa,costa,40,41
279,1035,francisco,Francisco,67,68
280,1035,francisco de,Francisco de,67,69
281,1035,costa,costa,342,343
282,1037,costa,costa,116,117
283,1038,medina,medina,138,139
284,1044,costa,costa,825,826
285,1049,domingo,Domingo,16,17
286,1049,costa,costa,730,731
287,1053,juan de dios,juan de dios,34,37
288,1053,juan,juan,34,35
289,1053,"juan
",juan,34,35
290,1053,juan de,juan de,34,36
291,1053,costa,costa,58,59
292,1066,placido pacheco,placido pacheco,1188,1190
293,1066,pacheco,pacheco,1189,1190
294,1066,costa,costa,498,499
295,1072,señor prouisor,señor prouisor,26,28
296,1073,costa,costa,245,246
297,1078,costa,costa,81,82
298,1084,francisco,francisco,22,23
299,1084,diego,diego,48,49
