document,id
"D. Juan García Blanco .. arriendo a MIGUEL DE AGUILA, maestro pintor, Santa María, calle de Tintores, una casa a la Ballestilla, un año, 6 ducados y medio, Francisco Melgarejo, fiador, maestro de hacer cajas de joyas, 22 junio 1683.",4631
"18 mayo 1692, Auto de Fe, celebrado en Santa Ana, Triana, un reo fue MIGUEL DE ÁGUILA, pintor, pena de destierro de Sevilla y Madrid por 5 años por hechicero, adivinador y embustero. ",4632
"JACINTO DE AGUILAR, dorador, soltero, natural de Sevilla, 36 años ",4633
"En Triana 26 julio 1663 .. Manuel Francisco de edad de 14 años .. me pongo por aprendiz del oficio de pintor de loza de Talavera con JUAN DE AGUILAR, calle de los Esparteñas, 6 años.",4634
"Juan Rodríguez como padre de Lorenzo Rodríguez de edad de 12 años .. le pongo aprender del oficio de pintor y de dorador con MANUEL DE AGUILAR, San Martín, 6 años, MANUEL DE AGUILAR no sabe firmar, 31 octubre 1647.",4635
"MANUEL DE AGUILAR, dorador de imaginería, arrendamiento de casas.",4636
"Restauración del monumento de la parroquia de Villalba del Alcor. Embarnizar el cuerpo pequeño que esta en medio del grande y blanquearlo todo y dorar las cornisas y molduras, todo lo cual hizo MANUEL DEL ÁGUILA [¿MANUEL DE AGUILAR?], vecino de Sevilla .. en precio de 950 reales a toda costa. Dio carta de pago ante Cristóbal Sánchez Calco vecino de esta villa a 11 abril 1656.",4637
"En la ciudad de Sevilla en 18 junio 1656 ante mi el escribano público del número y de los testigos yuso escritos pareció Andrés de Ribas vecino desta ciudad en nombre y como mayordomo que es de la fabrica de la iglesia parroquial de Señor San Lorenzo desta ciudad y dijo que la dicha fabrica tiene por bienes suyos unas casas en la misma parroquia en la calle de Naranja .. los cuales están puestas por MANUEL DE AGUILAR maestro pintor que vive en ellas en 250 reales de arrendamiento en cada un año .. yo JUAN CHAMORRO maestro pintor de imaginería vecino desta ciudad de Sevilla en la parroquia de San Vicente y yo Juan Pérez del Valle maestro cañero .. como sus fiadores.",4638
"Juan Paez .. 15 años .. aprendiz de dorador y estofador con TORIJIO DE ÁLAVA, maestro del dicho arte, por tiempo de 3 años, 23 octubre 1673.",4639
"CRISTÓBAL ALTA pintor de imaginería .. collación de Santa Marina otorgo y conozco que soy convenido y concertado con FRANCISCO LÓPEZ CARO, maestro pintor de imaginería, collación de Santa María en tal manera que he de ser obligado de estar y residir con el susodicho en las casas de su morada por oficial del dicho arte de pintor de imaginería por tiempo de 3 años .. he de ser obligado a pagar a razón de 6 reales cada un día de todos los que trabajo, 24 enero 1652.",4640
"Joseph Ignacio de Velazco de edad de 18 años .. hijo de Leonardo Velazco y María de la Paz .. aprendiz de pintor de imaginería con CRISTÓBAL ALTERI, Omnium Sanctorum .. 2 años .. 6 diciembre 1650.",4641
"Juan Manuel de Velazco en nombre y como curador ad lítem de Joseph Ignacio de Velazco su hermano lo puse por aprendiz con CRISTÓBAL MORGADO ALTERI maestro pintor, Omnium Sanctórum .. cancelado, 21 enero 1651.",4642
