,docid,string,label,start,end
0,1,martin de gaynça,PER,1,4
1,1,santa iglesia,ORG,13,15
2,1,Sevilla,LOC,16,17
3,1,juan sanchez de caliz,PER,18,22
4,1,sevilla,LOC,34,35
5,1,rodrigo de cordova,PER,45,48
6,1,gibraltar,LOC,53,54
7,1,luis de toro,PER,69,72
8,1,gibraltar,LOC,92,93
9,1,san francisco,LOC,94,96
10,1,monasterio de san francisco,ORG,118,122
11,1,cueva de san cristoval,LOC,124,128
12,1,Gibraltar,LOC,174,175
13,2,martin de gaynça,PER,1,4
14,2,monasterio de san pablo,ORG,17,21
15,2,Sevilla,LOC,25,26
16,2,puerto de santa maria,LOC,57,61
17,2,fin del mes de marzo de 1543,DATE,182,189
18,2,400 ducados,MON,191,193
19,3,martin de gaynça,PER,1,4
20,3,monesterio e,ORG,10,12
21,3,convento de señor san pablo,ORG,12,17
22,3,Sevilla,LOC,20,21
23,3,40000 maravedis,MON,93,95
24,4,Francisco Buelta,PER,0,2
25,4,Sevilla,LOC,7,8
26,4,Martin de Gainza,PER,12,15
27,4,Santa Iglesia,ORG,25,27
28,4,Sevilla,LOC,31,32
29,4,Juan Picardo,PER,35,37
30,4,provincia del Rio de la Plata,LOC,61,67
31,5,Martin de Gainza,PER,0,3
32,5,Juan de Escalona,PER,4,7
33,5,Llanos,LOC,10,11
34,5,Juan de Cordoba,PER,17,20
35,5,10.150 maravedis,MON,23,25
36,6,Martin de Gainza,PER,0,3
37,6,Juan Perez,PER,9,11
38,6,Moron,LOC,14,15
39,6,75.000 maravedis,MON,16,18
40,7,Rodrigo Alonso,PER,0,2
41,7,Martin de Gainza,PER,10,13
42,7,Santa Iglesia,ORG,18,20
43,7,Sevilla,LOC,21,22
44,8,Fernan Rodriguez,PER,0,2
45,8,Jerez de la Frontera,LOC,7,11
46,8,Martin de Gainza,PER,15,18
47,8,Puerto de Santa Maria,LOC,29,33
48,9,Ochoa de Isasi,PER,0,3
49,9,Martin de Gainza,PER,8,11
50,9,Antonio de Cardenas,PER,17,20
51,9,Alcazares reales,ORG,26,28
52,9,Sevilla,LOC,29,30
53,9,40 ducados de oro,MON,32,36
54,9,Alcazar,ORG,43,44
55,10,Martin de Gainza,PER,0,3
56,10,Juan de Gainza,PER,4,7
57,10,Pedro de Espinosa,PER,15,18
58,10,Alonso de Espinosa,PER,20,23
59,10,95.962 maravedis,MON,25,27
60,11,Martin de Gainza,PER,0,3
61,11,Juanes de Veorostigui,PER,7,10
62,12,Martin de Gainza,PER,0,3
63,13,Martin de Gainza,PER,0,3
64,13,Santa Iglesia,ORG,11,13
65,13,Sevilla,LOC,14,15
66,13,Antonio de Isasi,PER,17,20
67,13,Alonso,PER,32,33
68,13,Fernando Lopez de Calatayud,PER,35,39
69,13,Antonio de Libano,PER,41,44
70,13,Antonio Diaz,PER,46,48
71,13,150.000 maravedis,MON,49,51
