,docid,string,label,start,end
0,1,martin de gaynça,PER,1,4
1,1,santa iglesia de,ORG,13,16
2,1,Sevilla,LOC,16,17
3,1,juan sanchez,PER,18,20
4,1,sevilla,LOC,34,35
5,1,rodrigo de cordova,PER,45,48
6,1,gibraltar,LOC,53,54
7,1,luis de toro,PER,69,72
8,1,gibraltar,LOC,92,93
9,1,san francisco,LOC,94,96
10,1,monasterio de san francisco,ORG,118,122
11,1,cueva de san cristoval,LOC,124,128
12,1,Gibraltar,LOC,174,175
13,2,martin de gaynça,PER,1,4
14,2,monasterio de san pablo,ORG,17,21
15,2,Sevilla,LOC,25,26
16,2,puerto de santa maria,LOC,57,61
17,3,martin de gaynça,PER,1,4
18,3,convento de señor san pablo,ORG,12,17
19,3,Sevilla,LOC,20,21
20,4,Francisco Buelta,PER,0,2
21,4,Sevilla,LOC,7,8
22,4,Martin de Gainza,PER,12,15
23,4,Santa Iglesia,ORG,25,27
24,4,Sevilla,LOC,31,32
25,4,Juan Picardo,PER,35,37
26,4,provincia del Rio de la Plata,LOC,61,67
27,5,Martin de Gainza,PER,0,3
28,5,Juan de Escalona,PER,4,7
29,5,Llanos,LOC,10,11
30,5,Juan de Cordoba,PER,17,20
31,5,10.150 maravedis,MON,23,25
32,6,Martin de Gainza,PER,0,3
33,6,Juan Perez,PER,9,11
34,6,Moron,LOC,14,15
35,6,75.000 maravedis,MON,16,18
36,7,Rodrigo Alonso,PER,0,2
37,7,Martin de Gainza,PER,10,13
38,7,Santa Iglesia de,ORG,18,21
39,7,Sevilla,LOC,21,22
40,8,Fernan Rodriguez,PER,0,2
41,8,Jerez de la Frontera,LOC,7,11
42,8,Martin de Gainza,PER,15,18
43,8,Puerto de Santa Maria,LOC,29,33
44,9,Ochoa de Isasi,PER,0,3
45,9,Martin de Gainza,PER,8,11
46,9,Antonio de Cardenas,PER,17,20
47,9,Sevilla,LOC,29,30
48,9,40 ducados de oro,MON,32,36
49,10,Martin de Gainza,PER,0,3
50,10,Juan de Gainza,PER,4,7
