,docid,string,label,start,end
0,4631,Juan García Blanco,PER,1,4
1,4631,MIGUEL DE AGUILA,PER,7,10
2,4631,Santa María,PER,14,16
3,4631,calle de Tintores,LOC,17,20
4,4631,6 ducados y medio,MON,30,34
5,4631,Francisco Melgarejo,PER,35,37
6,4632,Santa Ana,LOC,10,12
7,4632,MIGUEL DE ÁGUILA,PER,18,21
8,4632,Sevilla,LOC,28,29
9,4632,Madrid,LOC,30,31
10,4633,JACINTO DE AGUILAR,PER,0,3
11,4633,Sevilla,LOC,10,11
12,4634,Triana,LOC,1,2
13,4634,Manuel Francisco,PER,6,8
14,4634,Talavera,LOC,25,26
15,4634,JUAN DE AGUILAR,PER,27,30
16,4634,calle de los Esparteñas,LOC,31,35
17,4635,Juan Rodríguez,PER,0,2
18,4635,Lorenzo Rodríguez,PER,5,7
19,4635,MANUEL DE AGUILAR,PER,24,27
20,4635,MANUEL DE AGUILAR,PER,34,37
21,4635,31 octubre 1647,MON,41,44
22,4636,MANUEL DE AGUILAR,PER,0,3
23,4637,MANUEL DEL ÁGUILA,PER,35,38
24,4637,MANUEL DE AGUILAR,PER,40,43
25,4637,Sevilla,LOC,48,49
26,4637,950 reales,MON,53,55
27,4637,Cristóbal Sánchez Calco,PER,64,67
28,4638,Sevilla,LOC,4,5
29,4638,18 junio 1656,MON,6,9
30,4638,Andrés de Ribas,PER,23,26
31,4638,fabrica de la iglesia parroquial de Señor San Lorenzo desta ciudad y dijo que la dicha fabrica tiene por bienes suyos unas casas en la misma parroquia en la,ORG,38,67
32,4638,calle de Naranja,LOC,67,70
33,4638,MANUEL DE AGUILAR,PER,76,79
34,4638,250 reales,MON,86,88
35,4638,JUAN CHAMORRO,PER,96,98
36,4638,Sevilla,LOC,106,107
37,4638,parroquia de San Vicente,LOC,109,113
38,4638,Juan Pérez del Valle,PER,115,119
39,4639,Juan Paez,PER,0,2
40,4639,TORIJIO DE ÁLAVA,PER,12,15
41,4640,FRANCISCO LÓPEZ,PER,19,21
42,4640,6 reales,MON,77,79
43,4640,24 enero 1652,MON,88,91
44,4641,Joseph Ignacio de Velazco,PER,0,4
45,4641,Leonardo Velazco,PER,12,14
46,4641,María de la Paz,PER,15,19
47,4641,CRISTÓBAL ALTERI,PER,26,28
48,4641,Omnium Sanctorum,PER,29,31
49,4642,Juan Manuel de Velazco,PER,0,4
50,4642,Joseph Ignacio de Velazco,PER,12,16
51,4642,CRISTÓBAL MORGADO ALTERI,PER,23,26
52,4642,Omnium Sanctórum,PER,29,31
53,4643,Juan Durán,PER,0,2
54,4643,FRANCISCO ÁLVAREZ,PER,8,10
55,4643,Francesca María Durán,PER,16,19
56,4643,"18,920 reales",MON,26,28
57,4644,JUAN VAN MOL,PER,0,3
58,4644,Santa María,PER,7,9
59,4644,PEDRO ÁLVAREZ,PER,18,20
60,4644,Miguel de Álvarez,PER,34,37
61,4644,Juana de Cansos,PER,40,43
62,4644,Paula María,PER,64,66
63,4644,50 reales y 550 reales,MON,116,121
64,4644,Fray Juan Bautista Pluyns,PER,122,126
65,4644,"3,300 reales de moneda",MON,130,134
66,4645,PEDRO ÁLVAREZ,PER,0,2
67,4645,Omnium Sanctórum,PER,9,11
68,4645,Paula María,PER,20,22
69,4645,Jospeh Ruiz Calzado,PER,31,34
70,4645,Sevilla,LOC,39,40
71,4645,50 ducados de moneda de vellón,MON,61,67
72,4645,Gonzalo Núñez de Sepulveda,PER,80,84
73,4645,14 junio 1679,MON,85,88
74,4646,PEDRO ÁLVAREZ,PER,0,2
75,4646,Paula María,PER,23,25
76,4646,fray Juan Bautista Pluyns,PER,37,41
77,4646,50 ducados de moneda de vellón,MON,65,71
78,4646,12 octubre 1679,MON,83,86
79,4647,Juan Bartolomé de Vega,PER,0,4
80,4647,PEDRO ÁLVAREZ,PER,10,12
81,4648,Luis de Ambar,PER,0,3
82,4648,Santa María,PER,8,10
83,4648,DIEGO DE AMBAR,PER,15,18
84,4648,JUAN VAN MOL,PER,36,39
85,4649,Isabel de Mesa,PER,0,3
86,4649,Alonso de Fuentes,PER,6,9
87,4649,FRANCISCO ANTONIO ANTOLÍNEZ,PER,12,15
88,4649,San Vicente,LOC,20,22
89,4649,calle de los Aranjuelos,LOC,30,34
90,4649,"4 ducados, 6 mayo 1673",MON,38,44
91,4650,Fray Sebastián de Villanueva,PER,0,4
92,4650,Convento de San Jerónimo de Buenavista,ORG,10,16
93,4650,FRANCISCO ANTONIO ANTOLÍNEZ,PER,25,28
94,4650,San Vicente,LOC,35,37
95,4650,calle del Garzo,LOC,39,42
96,4650,5 ducados,MON,46,48
97,4651,Fray Sebastián de Villanueva,PER,0,4
98,4651,Convento de San Jerónimo de Buenavista,ORG,10,16
99,4651,FRANCISCO ANTOLÍNEZ,PER,21,23
100,4651,calle de la Palma,LOC,27,31
101,4651,6 ducados y medio,MON,37,41
102,4651,JULIÁN JIMÉNEZ,PER,42,44
103,4652,Lucas de Montiel Quintero,PER,0,4
104,4652,FRANCISCO ANTOLÍNEZ,PER,8,10
105,4652,Pozo Santo,LOC,15,17
106,4652,14 ducados el mes,MON,21,25
107,4652,14 mayo 1677,MON,26,29
108,4653,FRANCISCO ANTOLÍNEZ,PER,1,3
109,4653,Juan de Legarbura,PER,8,11
110,4653,Pozo Santo,LOC,17,19
111,4653,Lucas de Montiel,PER,24,27
112,4653,"1,716 reales de renta el año",MON,31,37
113,4653,9 junio 1677,MON,38,41
114,4654,Diego Ruiz,PER,0,2
115,4654,Juan Pérez,PER,8,10
116,4654,FRANCISCO ANTOLÍNEZ,PER,18,20
117,4654,14 mayo 1679,MON,24,27
118,4655,FRANCISCO ANTONIO,PER,0,2
119,4655,Pedro Martín,PER,9,11
120,4655,Sevilla,LOC,17,18
121,4655,Santa María,LOC,19,21
122,4655,Francisco de Mendoza,PER,24,27
123,4655,FRANCISCO ANTONIO,PER,39,41
124,4655,SEBASTIÁN DE LLANOVALDÉS,PER,49,52
125,4655,3 noviembre 1670,MON,69,72
126,4656,FRANCISCO ANTONIO,PER,0,2
127,4656,calle de Harinas,LOC,11,14
128,4657,San Martin,PER,0,2
129,4657,LUIS ANTONIO,PER,3,5
130,4657,Sevilla,LOC,16,17
131,4658,LUIS ANTONIO,PER,7,9
132,4658,San Martín,LOC,14,16
133,4658,Santa Congregación del Santísimo y Doctrina Cristina,ORG,19,26
134,4658,Casa Profesa,ORG,29,31
135,4659,Francisco de Olivares,PER,0,3
136,4659,JUAN DE ARAGÓN,PER,10,13
137,4659,JUAN JOSEPHE,PER,14,16
138,4659,51 reales,MON,32,34
139,4659,FRANCISCO FONSECA,PER,37,39
140,4659,San Martín,PER,43,45
141,4659,23 mayo 1667,MON,48,51
142,4660,JOAN DE,PER,0,2
143,4661,JUAN DE ARAGÓN,PER,0,3
144,4662,Jerónimo de la Fuente,PER,0,4
145,4662,Juan Angel,PER,12,14
146,4662,María de Herrera,PER,17,20
147,4662,JUAN DE ARAGÓN,PER,33,36
148,4663,FERNANDO DE CASTRO,PER,0,3
149,4663,JUAN DE ARAGÓN,PER,17,20
150,4664,MARTÍN RODRÍGUEZ,PER,0,2
151,4664,calle Colcheros,LOC,6,8
152,4664,Magdalena,LOC,9,10
153,4664,JUAN DE ARAGÓN,PER,14,17
154,4664,San Vicente,LOC,25,27
155,4664,Cofradía del Dulcísimo Nombre de,ORG,33,38
156,4664,convento de San Pablo el Real orden de Predicadores,ORG,44,53
157,4664,MARTÍN RODRÍGUEZ,PER,94,96
158,4664,Domingo de Lázaro,PER,98,101
159,4664,Jueves Santo de 1676,ORG,104,108
160,4664,"8,400 reales .. 11 agosto",MON,122,127
