,Unnamed: 0,docid,string,label,start,end,Remove
57935,57935,6792,,PER,135,138,
45285,45285,4978,- Rodriguez,PER,6,8,
45173,45173,4961,-- Gomez Brito,PER,34,38,0
45108,45108,4952,-- Manrique,PER,11,13,
61780,61780,7342,-- Ramirez,PER,29,31,
43792,43792,4803,-- Sarabia,PER,14,16,
51592,51592,5849,-- Velas,PER,32,34,
49700,49700,5588,-- Velasco,PER,23,25,
51301,51301,5810,-- Herrera Ortiz,PER,1,5,
71793,71793,8589,-- Pinta y Collantes,PER,177,182,
65135,65135,7839,-- Abrego,PER,1,4,
47184,47184,5229,--Nino Guevara,PER,14,18,
48415,48415,5402,--de Vega,PER,5,7,
35508,35508,3748,-geronimo hernandez,PER,0,2,
35435,35435,3739,-luisa ordoñes,PER,1,3,
32760,32760,3465,-basco perea,PER,0,3,
36760,36760,3855,-gaspar aguila,PER,0,3,
34488,34488,3623,-vasco pereyra,PER,0,2,
24271,24271,2622,gaspar nuñes delgado,PER,0,3,0
14562,14562,1666,,PER,456,457,
14561,14561,1666,,PER,449,450,
10427,10427,1223, alonso padilla,PER,372,376,0
9882,9882,1207, las ,PER,3570,3574,
10328,10328,1219, su ,PER,521,525,
880,880,124,A Lopez,PER,7,9,
66787,66787,8056,AGUSTIN FRANCO,PER,7,9,0
71698,71698,8579,AGUSTIN DE PEREA,PER,101,104,0
45413,45413,4999,AGUSTIN DE PEREA,PER,16,19,0
45421,45421,5000,AGUSTIN DE PEREA,PER,49,52,0
45397,45397,4997,AGUSTIN DE PEREA,PER,26,29,0
45403,45403,4997,AGUSTIN DE PEREA,PER,83,86,0
50322,50322,5666,AGUSTIN FRANCO,PER,9,11,0
66855,66855,8063,AGUSTIN FRANCO,PER,0,2,0
53704,53704,6170,AGUSTIN FRANCO,PER,25,27,0
50314,50314,5665,AGUSTIN FRANCO,PER,24,26,0
50305,50305,5664,AGUSTIN FRANCO,PER,97,99,0
50293,50293,5663,AGUSTIN FRANCO,PER,13,15,0
51856,51856,5884,AGUSTIN GONZALEZ,PER,7,9,0
51850,51850,5883,AGUSTIN GONZALEZ,PER,15,17,0
63199,63199,7547,AGUSTIN PEREZ,PER,5,7,0
63207,63207,7548,AGUSTIN PEREZ,PER,30,32,0
63164,63164,7544,AGUSTIN PEREZ ROMERO,PER,0,3,0
63174,63174,7545,AGUSTIN PEREZ ROMERO,PER,34,37,0
63191,63191,7546,AGUSTIN PEREZ ROMERO,PER,0,3,0
53380,53380,6127,ALBERTO JUANES,PER,19,21,0
48708,48708,5447,ALFONSO FAJARDO,PER,82,84,0
69735,69735,8379,ALFONSO FAJARDO,PER,82,84,0
49141,49141,5500,ALFONSO FAJARDO,PER,1083,1085,0
49137,49137,5500,ALFONSO FAJARDO,PER,1027,1029,0
69733,69733,8379,ALFONSO FAJARDO,PER,71,73,0
48706,48706,5447,ALFONSO FAJARDO,PER,71,73,0
67137,67137,8090,ALFONSO MARTIN,PER,287,289,0
61878,61878,7355,ALFONSO MARTIN,PER,56,58,0
56613,56613,6564,ALFONSO MARTIN,PER,7,9,0
51724,51724,5868,ALFONSO MARTINEZ,PER,52,54,0
68546,68546,8233,ALFONSO MARTINEZ,PER,0,2,0
51635,51635,5858,ALFONSO MARTINEZ,PER,15,17,0
70620,70620,8503,ALFONSO MARTINEZ,PER,1302,1304,0
67450,67450,8117,ALFONSO MARTINEZ,PER,6,8,0
51816,51816,5879,ALFONSO MARTINEZ,PER,0,2,0
67440,67440,8116,ALFONSO MARTINEZ,PER,41,43,0
71425,71425,8570,ALFONSO MARTINEZ,PER,103,105,0
51682,51682,5863,ALFONSO MARTINEZ,PER,143,145,0
42987,42987,4675,ALFONSO MARTINEZ,PER,86,88,0
51812,51812,5878,ALFONSO MARTINEZ,PER,43,45,0
56626,56626,6564,ALFONSO MARTINEZ,PER,112,114,0
61862,61862,7354,ALFONSO MARTINEZ,PER,89,91,0
56635,56635,6564,ALFONSO MARTINEZ,PER,205,207,0
45436,45436,5001,ALFONSO MARTINEZ,PER,163,165,0
56665,56665,6568,ALFONSO MARTINEZ,PER,74,76,0
61853,61853,7354,ALFONSO MARTINEZ,PER,7,9,0
47993,47993,5342,ALFONSO MARTINEZ,PER,85,87,0
56513,56513,6554,ALFONSO MARTINEZ,PER,6,8,0
47681,47681,5302,ALFONSO MARTINEZ,PER,70,72,0
56570,56570,6558,ALFONSO MARTINEZ,PER,13,15,0
