,token,score,match
0,BENJUMEA,71,enjuta
1,Prevendado,71,revenga
2,Lateral,77,antera
3,MORILLO,100,morillo
4,Ramon,100,ramon
5,Ruela,91,iruñela
6,morante,100,morante
7,citacion,78,visitacion
8,Coello,100,coello
9,VELAZQUEZ,100,velazquez
10,Cardenas,100,cardenas
11,TIRADO,100,tirado
12,IV,67,riva
13,Varte,83,vidarte
14,BORJA,100,borja
15,quebedo,100,quebedo
16,touar,89,tour
17,martos,100,martos
18,Quevedo,100,quevedo
19,Teresa,100,teresa
20,Juanes,100,juanes
21,colonbres,89,colombres
22,Monero,92,montero
23,leonisio,86,leonis
24,Coltrera,86,cotera
25,arze,100,arze
26,Orti,89,ortiz
27,Biedma,100,biedma
28,sinco,75,inc
29,Durango,100,durango
30,barrionuebo,91,barrionuevo
31,RomanEn,83,roman
32,ybragon,77,aragon
33,adentroque,71,enrique
34,Acuna,89,acuña
35,despindola,95,espindola
36,Sebarillo,80,baillo
37,trujillo,100,trujillo
38,Ruiz,100,ruiz
39,Bolante,86,volante
40,baltasar,100,baltasar
41,Resplandores,73,salvadores
42,Tenorio,100,tenorio
43,Villens,92,villes
44,Bet,75,beata
45,IRIARTE,100,iriarte
46,Canto,100,canto
47,villa,100,villa
48,Desposorios,71,osorio
49,Astete,100,astete
50,bortolome,89,bartolome
51,AGUSTIN,100,agustin
52,Ruano,100,ruano
53,enello,83,anello
54,Gussano,71,iguanzo
55,Trelles,100,trelles
56,Enrique,100,enrique
57,rroelas,92,roelas
58,Grimon,100,grimon
59,Rosal,100,rosal
60,horosco,92,orosco
61,Iriano,86,cipriano
62,ATIENZA,100,atienza
63,Varinelos,75,marineo
64,Hierosolymitanum,58,hipolita
65,Sala,100,sala
66,Beruenquel,84,berenguel
67,cuesta,100,cuesta
68,Espinosa,100,espinosa
69,Eraso,100,eraso
70,CARASCO,93,carrasco
71,ayllon,100,ayllon
72,MENESES,100,meneses
73,Malaves,86,malaver
74,Sotto,100,sotto
75,Cipriano,100,cipriano
76,Ribadeneira,100,ribadeneira
77,Dimas,100,dimas
78,barrassa,93,barrasa
79,-geronimo,100,geronimo
80,ALONSO,100,alonso
81,xorxe,75,ore
82,Galderon,88,calderon
83,FigueroaAndres,73,figueres
84,Calatayud,100,calatayud
85,atabalipa,78,atahualpa
86,bandelbira,82,bandera
87,Salafranca,100,salafranca
88,añosxpoual,62,apostol
89,Academia,75,caldeira
90,cuia,86,uiña
91,Caro,100,caro
92,Arnao,100,arnao
93,holgado,100,holgado
94,Pan,100,pan
95,GOMEZ,100,gomez
96,Morellon,93,morello
97,Alfanje,73,afan
98,Llanes,100,llanes
99,alo,86,aloy
100,porras,100,porras
101,muñoz,100,muñoz
102,Mingues,86,minguez
103,lazo,80,laszlo
104,costança,88,constanza
105,Ruis,100,ruis
106,Nufria,83,nafria
107,Mathia,92,mathias
108,aza,86,daza
109,Benaberte,78,benavente
110,acauar,80,acuña
111,HEREDIANARBAES,67,henares
112,dionifio,88,dionisio
113,Amarrado,80,parrado
114,Presbitero,80,prestamero
115,brasero,77,raspeño
116,ciessa,83,chiesa
117,Maltratando,67,armando
118,GARCIA,100,garcia
119,Capitulaciones,67,capicio
120,TORRES,100,torres
121,çumaraga,80,pumarada
122,Deza,100,deza
123,siguença,93,siguenza
124,Vermondo,100,vermondo
125,ARENSECALLATRADA,67,escalada
126,Solarte,100,solarte
127,Ruesta,100,ruesta
128,Lusando,86,luyando
129,caraballo,100,caraballo
130,Almonacid,100,almonacid
131,Puesta,83,cuesta
132,ALDRETTE,93,aldrete
133,Vanes,83,cavanes
134,florencia,100,florencia
135,Nicolas,100,nicolas
136,anjeles,86,angeles
137,deza,100,deza
138,rrojas,91,rojas
139,Hernandez,100,hernandez
140,Samudio,86,zamudio
141,roela,91,roelas
142,isquierdo,89,izquierdo
143,Megia,80,eguia
144,deseoJuan,67,seoane
145,carcel,100,carcel
146,ysabel,83,isabel
147,Matias,100,matias
148,pino,100,pino
149,goncalo,92,gonçalo
150,Careaga,86,arteaga
151,maria,100,maria
152,carrasco,100,carrasco
153,Federigui,100,federigui
154,rroldan,92,roldan
155,jubetero,75,junteron
156,Baeça,89,baeza
157,manteles,80,angeles
158,Torado,92,torrado
159,marcho,91,marco
160,cuevas,100,cuevas
161,pedrassa,80,pedrosa
162,reglones,80,regules
163,Nobela,80,bela
164,arpe,100,arpe
165,cornyelles,84,cornieles
166,ARANA,100,arana
167,Izaguire,94,izaguirre
168,Pasteles,80,pastene
169,franciisco,95,francisco
170,saueis,73,sales
171,mata,100,mata
172,bartome,93,bartomeu
173,Alaras,83,latras
174,CAMPROVIN,89,camprobin
175,Rubira,100,rubira
176,buenabentura,92,buenaventura
177,olano,100,olano
178,añasco,100,añasco
179,colmenero,100,colmenero
180,Anales,92,canales
181,balençuela,84,valenzuela
182,Simona,100,simona
183,Criba,89,riba
184,grillo,100,grillo
185,Ribas,100,ribas
186,Puerta,100,puerta
187,dancart,77,aycart
188,Serrera,86,ferrera
189,Romualda,88,romualdo
190,Cancino,92,cancio
191,Rogel,80,urgel
192,rubricadoAntonio,61,antonio
193,xpoual,73,puyal
194,salde,80,sales
195,bauchel,86,bucheli
196,ENRIQUE,100,enrique
197,montesinos,100,montesinos
198,ssalzedo,86,alzedo
199,ymagineria,75,manera
200,Carasquila,91,carrasquilla
201,Hornedo,86,hornero
202,Çurbaran,83,urban
203,justina,86,justino
204,esteban,100,esteban
205,renuescas,71,rusca
206,rroxano,77,romano
207,Schutt,91,schut
208,Arieta,92,arrieta
209,GREGORIO,100,gregorio
210,Nieves,100,nieves
211,Bosello,86,botello
212,Beltran,100,beltran
213,Almario,86,albariño
214,vanmol,73,vango
215,Olanches,82,lanchares
216,lizazañana,80,lizana
217,librero,83,ibero
218,Sotomayo,94,sotomayor
219,Ceras,83,maceras
220,Carasquilla,96,carrasquilla
221,Barragan,80,braganz
222,laines,100,laines
223,CARABAJAL,94,carbajal
224,doñate,91,idoate
225,Consuegra,100,consuegra
226,nabarro,86,navarro
